ra,dec,rmag,imag,ndet
247.0416736402017,-29.14808966896345,21.94918,20.234375,10
247.0413671974367,-29.14777477310228,20.125,99.99,1
247.04124120483996,-29.147636605198898,20.474447,20.265625,12
247.04248046002454,-29.14823028947893,21.130535,20.859375,14
247.0378009781272,-29.146659477089074,99.99,99.99,1
247.03747336459952,-29.14632525708391,21.059048,20.640625,13
247.0392697655421,-29.146492509306558,20.955036,20.65625,14
247.03997123881763,-29.146877445413654,20.720535,20.421875,14
247.04141221576108,-29.146866885917643,23.1875,99.99,1
247.04057038407862,-29.144917124635096,99.99,99.99,1
247.04193063710224,-29.14566556642024,21.767405,20.734375,13
247.03322449722467,-29.141284822506737,23.5625,21.296875,2
247.0353360533408,-29.14243552481732,23.125,22.84375,2
247.03261304829184,-29.14084356907662,99.99,22.71875,1
247.03161638674126,-29.138320965095296,22.335262,21.172136,7
247.0317745945538,-29.138311098523854,21.984375,99.99,1
247.03343705104334,-29.13925082582114,22.454544,21.270758,9
247.03485193076298,-29.141104834012065,21.96875,21.390625,2
247.0354869087803,-29.140959958585015,20.126713,19.875,12
247.03521477963764,-29.140303117259027,22.890625,21.390625,2
247.03602353652894,-29.141473045169253,20.669685,20.28125,13
247.0373042791851,-29.140729928888117,22.780542,21.453125,7
247.03920616231952,-29.142701145201034,23.359375,22.75,2
247.04008051274482,-29.142563932239618,22.171825,21.640625,8
247.04228215129586,-29.14432679631752,21.52019,20.296875,13
247.04091161744196,-29.142750851736142,19.260862,19.015625,15
247.04040555764797,-29.14231400116918,99.99,22.234375,1
247.03921767193845,-29.14146448422475,21.283709,20.53125,14
247.0401345979761,-29.14054401099549,23.578125,23.09375,2
247.03893552462534,-29.139635600454973,20.347622,20.028296,15
247.042154156681,-29.14235162802683,21.964108,20.9375,8
247.04135426156137,-29.140685315639864,20.621143,99.99,6
247.04145253748956,-29.140923279830808,20.757706,19.953125,6
247.04114837065882,-29.14052909845427,22.043741,20.703125,3
247.04120601624538,-29.140371796167134,99.99,99.99,1
247.04272510432676,-29.141129919212123,18.99583,18.140625,12
247.0436747719329,-29.149308822067084,19.918184,19.515625,16
247.04515564907422,-29.15035918942607,22.802332,21.8125,5
247.04338799128203,-29.147756115038543,20.930801,20.375,15
247.04410778523484,-29.148415652563642,21.97851,21.515625,14
247.04662709675074,-29.150346122854486,21.921875,21.140625,2
247.0477366164864,-29.150611232435242,19.077688,18.71875,15
247.04660085757402,-29.148871502809207,99.99,22.59375,1
247.04515256462292,-29.147596982977763,22.589483,22,11
247.04409895509949,-29.145997591013423,19.971207,19.609375,15
247.05402241749275,-29.15164633555608,20.59375,20.296875,3
247.0546911816797,-29.151841875336405,18.09004,17.84375,14
247.05437901020613,-29.149780525407582,18.72633,18.25,15
247.05035628181966,-29.14855038353511,18.922525,18.5625,15
247.05442993341057,-29.14859747216962,23.09375,22.375,3
247.05352448824834,-29.14807561123619,19.528515,19.015625,15
247.05255394562795,-29.14713307631452,18.296875,99.99,2
247.05269571458626,-29.14707425097808,17.981459,17.625,13
247.04633794607312,-29.145448285902845,17.393572,17.046875,14
247.04537213075366,-29.14275699884085,22.540754,21.984375,12
247.0444455618889,-29.141104504889757,22.5504,22.046875,8
247.04769229497845,-29.143545059948682,22.914516,22.25,5
247.0495717331333,-29.145182590136393,18.918837,18.53125,15
247.05305197005893,-29.14690645820863,19.375,99.99,2
247.05354120894498,-29.14504441904927,21.78972,21.296875,15
247.05039892879728,-29.143799164941626,22.009497,21.28125,14
