ra,dec,gmag,rmag,imag,ndet,class_star
247.1502918830243,-29.18536605631144,99.99,99.99,22.46875,3,0.562826
247.1570169315325,-29.188216265797916,19.8092,99.99,18.71875,8,0.983704
247.16119416824122,-29.18979724168255,99.99,99.99,22.53125,2,0.694824
247.15784183842766,-29.186798252136384,21.288961,99.99,19.5,8,0.977661
247.15708630631437,-29.1854792105038,20.375,99.99,99.99,1,0.947754
247.1613479881793,-29.188574605579348,21.15079,99.99,19.6875,8,0.979309
247.16058830141012,-29.18675240785698,22.73899,99.99,20.6875,7,0.862026
247.1619466050808,-29.186614776616395,18.718733,99.99,17.609375,7,0.984863
247.15142802938007,-29.182512178763456,22.11143,99.99,20.515625,6,0.906901
247.15313099147363,-29.184048511089898,22.629833,99.99,21.859375,6,0.775798
247.1577145385319,-29.18525553780778,18.511215,99.99,17.25,6,0.985433
247.15712397147226,-29.18324130265422,99.99,99.99,22.328125,3,0.606689
247.15954322659454,-29.185374809803154,20.800224,99.99,19.390625,7,0.982143
247.15925883335794,-29.18485706428055,20.90349,99.99,19.484375,6,0.981527
247.16189480997184,-29.185117551899346,99.99,99.99,21.1875,3,0.953776
247.1594976151458,-29.182759280360152,21.86441,99.99,19.578125,5,0.017877
247.16063230617144,-29.18261594978968,19.93849,99.99,18.65625,6,0.982503
247.16129109492687,-29.182954786491308,22.644676,99.99,20.984375,5,0.894531
247.16336193161902,-29.189646237961167,99.99,99.99,20.614546,4,0.956299
247.1638512752378,-29.188324675961844,19.732752,99.99,18.28125,8,0.982971
247.1652628542417,-29.187025108407855,22.038052,99.99,20.96875,6,0.943115
247.17169605676023,-29.18967099593421,20.707394,99.99,19.42357,6,0.973551
247.17248013576992,-29.189014146156296,18.145023,99.99,16.9375,5,0.985547
247.17339287818558,-29.189310253329797,99.99,99.99,20.890625,1,0.967773
247.16486272296504,-29.18531111192386,19.828125,99.99,18.75,4,0.924438
247.16590403145545,-29.18488714659504,22.068792,99.99,20.734375,4,0.956299
247.16707595370286,-29.18472095683184,20.546875,99.99,18.96875,3,0.982747
247.16790661436923,-29.18502173416245,99.99,99.99,22.125,2,0.711426
247.16198615446154,-29.181584018188573,20.869947,99.99,19.796875,6,0.981201
247.16481509420495,-29.182248935188156,99.99,99.99,22.4375,2,0.713379
247.16540725474795,-29.184391369736385,99.99,99.99,22.28125,2,0.773438
247.16518859706994,-29.182785453800513,23.41013,99.99,21.984375,5,0.694385
247.1676850151463,-29.182585439541192,20.03125,99.99,18.953125,3,0.983887
247.1682424235745,-29.187045615525918,19.047342,99.99,17.671875,5,0.982715
247.16907107103984,-29.18680977326364,99.99,99.99,21.671875,2,0.926025
247.16970519383813,-29.187373835671067,23.55584,99.99,20.84375,4,0.697205
247.16856489811803,-29.185497110023277,99.99,99.99,22.390625,1,0.783203
247.17201453162662,-29.186648559482656,21.004726,99.99,19.796875,5,0.981152
247.16809750255058,-29.18370071101084,99.99,99.99,22.71875,1,0.683594
247.17298318758233,-29.185748336289876,99.99,99.99,22,2,0.304352
247.1720211761439,-29.183291912968706,19.71875,99.99,18.265625,3,0.983887
247.13056805430372,-29.174288658341503,99.99,22.828125,20.921875,5,0.86499
247.13181340531486,-29.1729600444371,22.590998,21.46875,99.99,4,0.755981
247.13154579176918,-29.17126467548595,99.99,99.99,21.484375,2,0.929199
247.13290115697225,-29.174440111475185,23.203726,22.5625,21.875,7,0.7357
247.13509733886897,-29.174334236844974,21.375221,20.265625,19.640625,9,0.975043
247.1377807405559,-29.176319008896293,20.59073,19.421875,18.859375,8,0.981262
247.13301436025475,-29.17167892758274,22.561794,99.99,99.99,3,0.790527
247.13523439228132,-29.171932601090905,20.56775,99.99,99.99,3,0.980794
247.13643294066298,-29.172046189755076,99.99,99.99,99.99,1,0.397705
247.13190717075648,-29.17014753419543,23.300215,21.944351,20.90625,7,0.779925
247.1313372073497,-29.169176317832413,99.99,99.99,22.597853,3,0.740885
247.13205414159148,-29.168866258258326,22.456553,21.518192,21.244482,10,0.856543
247.13052879988805,-29.167563897935228,99.99,99.99,22.203224,5,0.65249
247.13023887941316,-29.167075408996883,99.99,99.99,22.45974,3,0.694255
247.13184924343295,-29.16774803537948,20.265625,99.99,99.99,1,0.96875
247.13199312682815,-29.167083478532334,20.687904,20.140154,19.803518,9,0.980469
247.1336450594728,-29.169580993295593,20.332718,19.609375,19.288376,8,0.982117
247.13365063581642,-29.169478016942847,99.99,19.5,99.99,1,0.918457
247.13494618562942,-29.16951297552229,99.99,99.99,22.268835,3,0.749837
