night,band,mjd,flux,err,n,snr
58670.0,o,58670.479539249995,-2.448931116389549,7.237077926353565,4,-0.33838672753154314
58673.0,o,58673.54307225,-0.9164383561643836,6.736122212798208,4,-0.1360483564896148
58676.0,o,58676.419193,12.597010364804033,10.793037108044036,4,1.167142319506666
58678.0,o,58678.35715775,-3.910811947833403,13.783346758878022,4,-0.2837345686971418
58684.0,o,58684.4843015,-17.33594511267333,11.571452747768706,4,-1.4981649660208978
58686.0,o,58686.475088249994,-12.439707205183481,20.224201375562906,4,-0.6150901572911798
58688.0,o,58688.47699424999,3.5956970239304322,7.310320703460821,4,0.4918658386940771
58690.0,o,58690.449875,-1.3779094673711267,5.576823175682441,4,-0.24707784772152305
58692.0,o,58692.386709,6.967492680059238,7.417772217852489,4,0.9392972007539467
58694.0,c,58694.4351475,2.88932716948897,4.962296921198283,4,0.5822560026882193
58696.0,o,58696.440861250005,2.6927539998624033,7.976512912925956,4,0.33758536208206846
58700.0,o,58700.421399,1.2345132743362834,7.450129178662681,4,0.16570360657261543
58702.0,c,58702.33607325,10.090639942878985,7.576929781552083,4,1.331758407930235
58704.0,o,58704.398666,12.407980456026056,9.217291850395894,4,1.3461633479136412
58706.0,c,58706.40054825,-79.91999430641913,119.72033400192095,4,-0.6675557245366254
58712.0,o,58712.476935,-27.91884976281424,33.9594853728496,4,-0.8221222864918675
58718.0,o,58718.41206725,5.606625570845075,5.5516086867398995,4,1.00991007962009
58724.0,o,58724.41993525,6.967064269182837,5.283758676396999,4,1.318581088933018
58726.0,c,58726.3634515,-4.326694949333885,6.4918495486807535,4,-0.666481087845472
58730.0,c,58730.33670525,-4.00978026993545,5.329343664331231,4,-0.7523966406543666
58741.0,o,58741.401039,10.989617632418497,18.568351596245694,4,0.5918467008477193
58744.0,o,58744.23516925,1.8937893469393434,5.743812305721695,4,0.32970947623982183
