sdss_id,li_depth,e_li,li_sig,ctrl1_sig,ctrl2_sig,cai_depth,cai_sig,gaia,cls,teff,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
114736305,0.1213884966478988,0.028504607889253,4.25855697154372,-1.3516710895730446,-1.9737902598530412,0.095429081885929,3.0667219308930873,6908387486105493120,DA,-9999.0,18.67571,1.630536,0.1838793,18.67571,18.57741,18.98136,-0.40394999999999825,9.737361959373636
62914323,0.0576936284188094,0.0135486721744764,4.2582496406913695,-0.1459048835896973,-0.7871750642161007,0.0496592492080556,2.762407599343211,1731534520857031168,DA,-9999.0,17.96915,4.017933,0.1851744,17.96915,17.81588,17.86911,-0.05322999999999922,10.989163452537891
102901835,0.1435431203345293,0.0337194366635138,4.256984532895547,-1.8047290075221352,-1.429522857519725,0.1711667538940398,3.896401991319609,5854268817927128448,DA,11732.21,19.35883,3.480777,0.3017809,19.35883,19.45348,19.27522,0.1782599999999981,12.067211002988913
57426155,0.0318343804879849,0.007478938684054,4.256537168282927,-1.7304931001641095,-1.540053519800431,0.0410577889549407,4.639303247255078,861438223304637696,DA,5729.033,18.19573,17.16757,0.1165229,18.19573,18.53489,17.6993,0.8355899999999998,14.369274134431043
93578256,0.0863205130243963,0.0202931642365551,4.253674390950962,-2.1646030864971837,-2.5525897734661775,0.1517729219412403,5.576284339442045,4927654568983674496,DA,9818.916,19.40908,3.837813,0.2295744,19.40908,19.53585,19.33407,0.2017799999999994,12.329499048132405
65787724,0.0740876026872125,0.0174250085535767,4.251797206263346,-0.3185523933011323,1.256095667892515,-0.0184361864919411,-0.6737115262844838,2006568833337879808,DA,8917.588,18.82872,5.506844,0.1612535,18.82872,18.9437,18.64811,0.2955900000000007,12.533233868970068
56664869,0.0829566126799719,0.0195167620709231,4.2505315368661405,-1.8478157826419597,0.9800070863322587,0.049345197297448,1.900087192410378,716542111391798272,DA,12906.03,18.87607,3.624998,0.2390457,18.87607,18.86131,18.9421,-0.08079000000000036,11.672608856480988
55858203,0.0423373435338436,0.0099825890692354,4.241118535502974,-1.9840541805616023,1.4333435751151944,0.0237430226314465,1.7402538096849909,592998197459316480,DA,11348.3,18.57915,4.840353,0.2108473,18.57915,18.64005,18.55644,0.08361000000000018,12.0035351763644
94843701,0.0947141267339689,0.0223466725239195,4.238399548415468,-1.1317073771187056,-0.6763244328082909,0.1541368379599745,4.9086626011978005,5167924690311766144,DA,12128.88,19.60522,3.267014,0.3801526,19.60522,19.67551,19.67036,0.005150000000000432,12.175974977718049
86720959,0.1951396688638794,0.0460440275742279,4.238110329277629,-0.7002378654328456,0.9748940154898348,0.0836817602993912,1.3629216498472698,4247526461640458368,DA,15517.61,19.64965,2.428808,0.4139419,19.64965,19.68803,19.78299,-0.09496000000000038,11.576615923477569
67927748,0.2070764140238829,0.0489591488506405,4.229575449843091,-2.269663805862966,-1.8652243122134653,0.0893753996887012,1.9358681179544177,2153711213141281792,DA_MS,-9999.0,19.88415,2.198726,0.333299,19.88415,20.07231,19.30603,0.7662800000000018,11.595005559941118
101741488,0.0749130832765343,0.017747193383026,4.221122836706307,-1.6030130530347944,-2.8863298697407185,0.1404010043564471,6.154255638612512,5779016249255275904,DA,13533.4,18.25413,6.641909,0.1285455,18.25413,18.30266,18.24402,0.05864000000000047,12.365594605432136
70731803,0.1451153668499409,0.034416532543525,4.216443555620261,-1.8220107089463535,-0.0825169677749719,0.0910275616543213,1.7911950002461532,2622911994814644608,DA,17890.67,19.68356,2.306067,0.4118138,19.68356,19.60791,19.87473,-0.26681999999999917,11.49791960522615
