PSRJ,RAJ2000,DEJ2000,pmRA,pmDE,Plx,PB,A1,Ecc,OM,medM,minM,BINCOMP,Dist,Assoc
J1537+1155,15 37 09.96,+11 55 55.4,1.482,-25.285,0.86,0.420737298879,4.0,0.27367752,283.306012,1.624258,1.303656,NS[sttw02],1.05,XRS[kpg06b]
J1543-5149,15 43 44.15,-51 49 54.7,-4.3,-4.0,,8.060773125,6.0,0.0000215,75.7,0.262033,0.223275,He[kjb+12],1.46,""
J1544+4937,15 44 04.49,+49 37 55.3,,,,0.1207729895,0.03,,,0.019617,0.016967,UL[brr+13],2.3,"GRS:Fermi_J1544.2+4941[brr+13],OPT:[tkp+14]"
J1545-4550,15 45 55.95,-45 50 37.5,,,,6.203064928,4.0,0.000013,221.3,0.178802,0.153107,He[bbb+13],2.01,""
J1546-3747A,15 46 03.44,-37 47 10.1,,,,1.3467116,1.0,,,0.177916,0.152356,"",7.66,GC:NGC5986
J1600-3053,16 00 51.90,-30 53 49.4,-0.99,-7.22,0.48,14.3484577721,9.0,0.000173729,181.832,0.240109,0.204856,He[jbo+07],1.8,GRS:2FGL_J1600.7-3053[naa+12]
J1603-7202,16 03 35.68,-72 02 32.7,-2.46,-7.33,1.1,6.3086296691,7.0,9.34e-6,170.1,0.337792,0.28659,CO(?)[ts99a],0.53,""
J1614-2230,16 14 36.51,-22 30 31.2,,,1.5,8.6866194196,10.0,1.29e-6,175.1,0.47116,0.396862,CO[dpr+10],0.7,"RS:2FGL_J1614.5-2230[naa+12],OPT:[bk11]"
J1618-39,16 18 30.00,-39 19 00.0,,,,22.8,10.0,,,0.201839,0.172595,He[eb01b],4.76,""
J1622-6617,16 22 03.67,-66 17 17.0,-3.0,6.0,,1.64063515,1.0,0.0000146,344.0,0.106991,0.092021,He(?)[kjb+12],4.66,""
J1623-2631,16 23 38.22,-26 31 53.8,-13.4,-25.0,,191.44281,60.0,0.02531545,117.1291,0.325432,0.276295,HeT[tacl99],1.8,"GC:M4,XRS[pkgw07]"
J1628-3205,16 28 07.00,-32 05 48.9,,,,0.21,,,,,,MS[lht14],1.54,"GRS:2FGL_J1628.3-3206[naa+12],OPT:[lht14]"
J1630+37,16 30 00.00,+37 00 00.0,,,,12.5,,,,,,He[rap+12],0.85,GRS:2FGL_J1630.3+3732
J1638-4725,16 38 12.94,-47 25 32.0,,,,1940.9,2000.0,0.955,88.5,8.078541,5.839227,MS[lfl+06],6.87,""
J1640+2224,16 40 16.74,+22 24 08.8,2.09,-11.33,,175.46066194,60.0,0.000797262,50.7308,0.290328,0.246983,He[lcf+96],1.45,GRS:[hsg+14]
J1641+3627B,16 41 41.00,+36 27 37.0,,,,1.259113,1.0,,,0.18764,0.16059,He[hrs+07],6.5,GC:M13
J1641+3627D,16 41 41.00,+36 27 37.0,,,,0.592,0.9,,,0.208282,0.178036,"",6.5,GC:M13
J1641+3627E,16 41 41.00,+36 27 37.0,,,,0.117,0.04,,,0.022587,0.019532,UL[hrs+07],6.5,GC:M13
J1643-1224,16 43 38.16,-12 24 58.7,5.94,3.94,1.27,147.01728,30.0,0.000505753,321.857,0.138761,0.119111,He[lnl+95],0.74,""
J1646-2142,16 46 18.13,-21 42 09.0,,,,23.0,,,,,,"",1.41,GRS:2FGL_J1645.7-2148c[naa+12]
J1653-2054,16 53 31.03,-20 54 55.1,,,,1.226815259,0.7,,,0.090659,0.078055,He(?)[btb+15],2.64,""
J1701-3006A,17 01 12.51,-30 06 30.2,,,,3.8059483732,3.0,0.0,,0.229148,0.19563,He[lfrj12],7.05,"GC:M62,NGC6266"
J1701-3006B,17 01 12.67,-30 06 49.0,,,,0.14454541718,0.3,0.0,,0.141659,0.121576,He[lfrj12],7.05,"GC:M62,NGC6266"
J1701-3006C,17 01 12.87,-30 06 59.4,,,,0.21500007119,0.2,0.0,,0.080685,0.069511,UL[lfrj12],7.05,"GC:M62,NGC6266"
J1701-3006D,17 01 13.56,-30 06 42.6,,,,1.1179034034,1.0,0.0004122,101.6,0.141588,0.121516,He[lfrj12],7.05,"GC:M62,NGC6266"
J1701-3006E,17 01 13.27,-30 06 46.9,,,,0.1584774951,0.07,0.0,,0.0352,0.030414,UL[lfrj12],7.05,"GC:M62,NGC6266"
J1701-3006F,17 01 12.82,-30 06 51.8,,,,0.2054870422,0.06,0.0,,0.024064,0.020807,UL[lfrj12],7.05,"GC:M62,NGC6266"
J1708-3506,17 08 17.62,-35 06 22.6,-5.3,-2.0,,149.1332226,30.0,0.00024449,180.0,0.188155,0.161025,He[bbb+11],3.5,""
