HIP,Gaia,RA_ICRS,DE_ICRS,d_pc,dpmRA,dpmDE,chi2,trif_name,trif_n_rv,trif_timespan_d,trif_rvc_std_mps,sep_arcsec
95319,2046207670631964928,290.89215803221,33.22268885935,15.607855745954053,0.0034,0.0054,1700.0,HD182488,273,5832.25139999995,12.31888351271925,2.9147333876802213
99140,6865920120795274112,301.91432348567,-20.83288172593,94.18235587744992,0.0001,0.0,1651.0,HD190821,14,1445.0511900000274,117.70134089671458,0.8300646268822289
69513,1486147233756849792,213.44847482386,41.18759865945,210.41999831664003,0.0,0.0,1625.0,HD124641,12,5200.820910000242,1434.219781885629,0.16710765722949036
76201,6238016964640649600,233.4780656383,-25.11056554651,80.63215610385423,-0.0006,-0.0001,1540.0,HD138600,11,379.9448600001633,150.7257641115148,0.7734501828040038
101184,2188328963083011968,307.64375941714,58.28670146456,125.4736630781199,0.0001,-0.0001,1505.0,HD195787,7,1938.8994499999098,3657.7473101769824,1.771108268936247
33553,941162613140755200,104.59491079302,37.98784512766,166.55285554870838,0.0001,0.0,1501.0,HD51272,11,1673.6838400000706,3439.299879430099,0.7484339153183975
42109,1027292203666419328,128.75446031562,50.47195344869,146.23945247948993,0.0,-0.0001,1475.0,HD72440,10,2398.3873600000516,119.97087649041237,0.2283057484562114
105521,1738397638078725248,320.57945329295,5.02358579851,72.77914440837834,0.0039,-0.0002,1436.0,HD203473,55,6218.810200000182,576.5073070859521,2.9121181737677384
6712,2482274463233174016,21.57948436586,-4.67456056977,45.92401412622675,-0.0014,-0.0014,1396.0,HD8765,39,6610.116349999793,339.64608575044184,2.5114026435585632
38730,3152158382088366720,118.93921397218,13.33165680008,161.62399793121284,0.0,0.0001,1322.0,HD64730,17,5312.681299999822,1130.4764095721403,0.8394957619225236
1055,2798587122272590080,3.28929394278,20.38242934438,41.577794131710135,0.005,-0.0012,1267.0,HIP1055,5,3671.0833399998955,111.75794501063447,3.662853533679357
104587,2164004914017788032,317.79369852829,45.45456460797,31.359267447512426,-0.0053,-0.0156,1266.0,HD201924,10,6896.119290000293,59.74623267611849,6.206514203354677
81375,4383374219923745024,249.285530842,0.25468769396,20.32371615085075,-0.0012,-0.001,1251.0,HD149806,53,5902.7920499998145,12.147551658327169,1.9459901572427816
83770,4367462362525377664,256.81055499634,-2.86733660817,34.01823377330249,0.003,-0.0022,1210.0,HD154697,4,405.8544199997559,136.91402143285643,2.3375976063521717
18267,43499295632961152,58.61780602743,16.61532840401,20.47124813199861,-0.0056,0.003,1143.0,HD24496,218,8748.989860000089,30.40477090227652,4.326491422563948
6339,310361075612875392,20.37046110023,31.34080894555,29.07745944421344,-0.0128,-0.0098,1126.0,HIP6339,5,4050.9966199998744,4236.037540603576,9.297544891622032
89270,4589331164627790464,273.24749238652,28.25810059945,81.15894980318954,-0.0001,0.0014,1115.0,HD167215,32,7207.204100000206,1952.3258750053194,1.784457029063685
70950,1480314599451475712,217.68481964902,35.45462487114,22.503111055103368,-0.0146,-0.0055,1099.0,HD127506,37,2782.281740000006,376.72159704020294,8.236428061216865
101345,6904703228801028864,308.10012907925,-9.85289569917,24.73771834128651,-0.0033,-0.0001,1054.0,HD195564,57,7936.3037299998105,123.91294164679756,5.27226623084523
19428,169149766470219520,62.41223282401,31.65243367387,40.9063204355705,-0.0004,-0.0007,1046.0,HD26161,72,8815.979420000222,89.20706645165843,1.4878121766216517
2902,2347327930823092224,9.19504011517,-24.50121992931,79.22549159417535,0.0,0.0001,1019.0,HD3404,14,6405.3997199996375,1736.7955783419277,1.043835105962665
79248,1385293808145621504,242.60212543564,43.81632374589,17.900071063282123,0.0003,-0.0069,1009.0,HD145675,284,9125.99199999962,64.85363482597934,5.187886951866669
61100,1571145907856592768,187.82967493871,55.11884674612,25.78342950552539,0.0008,-0.0011,1003.0,HD109011,4,1061.1855899998918,4136.7057832495475,1.638665493197041
87222,4552637128714041088,267.29892693931,20.19744063022,104.6156421308114,-0.0002,0.0002,1000.0,HD162231,10,1760.963649999816,3494.4870321279614,0.9065913429906635
111148,1982946891164168576,337.77274505682,45.14525210684,40.95524001818413,-0.0037,-0.0012,967.3,HD213519,36,8792.991080000065,22.022484790748074,2.860754580173906
95401,4293027864900081536,291.09582574595,5.56454606602,95.66265521265808,0.0,0.0001,917.5,HD182407,17,3680.8134400001727,344.9682586421795,0.31899912163780836
113026,2609889349030557696,343.35585285741,-9.09273025419,35.38320005661312,0.0031,0.0008,910.6,HIP113026,3,2.0221199998632073,4.6516272779892125,3.9721556394149693
83020,1408029509584967168,254.47062131132,47.36789864192,17.936962339553872,-0.004,0.0013,875.6,HD153557,39,9109.952180000022,20.064933847712787,4.9558663637386
58983,1575435583752131712,181.39747872535,56.9785257342,124.77229056971028,0.0002,-0.0003,838.2,HD238069,3,3.1261800001375377,3.2866503211223024,1.2929466129791505
110486,1902165222113655040,335.70813891202,33.59571843244,98.49790691947796,0.0,-0.0001,807.1,HD212315,10,2277.9568900000304,273.46199607176777,0.5022845264588416
75390,1387596769609827840,231.07632704374,38.18721168906,105.99395834437438,0.0004,-0.001,769.9,HD137368,7,1214.6118700001389,430.6479615507422,2.6791612506581814
114796,1992253054507464448,348.8070434369,52.35200810072,57.662810946708035,0.0007,-0.0024,749.6,HD219428,33,4818.892280000262,211.6204452518224,2.896310008498338
48537,1046355398829622400,148.49178985299,57.68328846511,75.39033345144486,-0.0002,-0.0004,747.2,HD85472,13,4292.203859999776,111.88955673799785,1.6010147540381232
10446,107853161448699008,33.65906498124,28.69073731905,64.99330568951397,-0.0017,-0.0001,732.9,HD13747,26,4693.025300000329,32.42338323762414,3.028722814390109
49699,747266452000257280,152.17940392042,34.24198419413,18.292303696142884,0.001,0.0006,713.6,HD87883,72,5656.718959999736,24.674913921234747,1.4432308993248535
