run,camcol,field,ra,dec,mjd_r,mjd_g,mjd_i
5224,4,411,218.026908629481,21.4635437049799,53462.2635710901,53462.26688815,53462.26440036
5224,4,412,218.183439132081,21.4290063774535,53462.26398572,53462.26730278,53462.26481499
5224,4,413,218.339877918001,21.3943411083275,53462.26440036,53462.26771742,53462.26522962
5224,4,414,218.496230181329,21.3595353283009,53462.26481499,53462.26813205,53462.26564425
5224,4,415,218.652495880906,21.3245792591241,53462.26522962,53462.26854668,53462.26605889
5224,4,416,218.808697128731,21.2894187733487,53462.26564425,53462.26896131,53462.26647352
5224,4,417,218.964813865793,21.2541083049753,53462.26605889,53462.26937595,53462.26688815
5224,4,418,219.120837180617,21.2186450563229,53462.26647352,53462.26979058,53462.26730278
5224,4,419,219.276776731937,21.1830069770684,53462.26688815,53462.2702052099,53462.26771742
5224,4,420,219.432734501972,21.1472798012777,53462.26730278,53462.27061984,53462.26813205
