ra,dec,mjd,mag_auto,filter,class_star
249.49918425855668,-28.944537066265248,58617.21687062364,20.263144,i,0.974478
249.49857550752284,-28.940605150838437,58617.21687062364,16.616907,i,0.98547
249.4972773126205,-28.94083354881843,58617.21687062364,21.379736,i,0.910485
249.49765044115054,-28.935168967356148,58617.21687062364,22.293636,i,0.918054
249.49733678635016,-28.938537890193928,58617.21687062364,21.018682,i,0.978977
249.49721583059596,-28.934374369610556,58617.21687062364,21.595491,i,0.944515
249.4968239808694,-28.941737256766444,58617.21687062364,20.72929,i,0.983309
249.49636392943526,-28.941167065113515,58617.21687062364,20.633627,i,0.049328
249.49636171291928,-28.939769377586398,58617.21687062364,22.531689,i,0.743
249.4959875520682,-28.9435984202142,58617.21687062364,21.696304,i,0.94811
249.49597464846474,-28.940481694354105,58617.21687062364,22.81059,i,0.559468
249.49596597677552,-28.936142495720794,58617.21687062364,22.579576,i,0.539989
249.4952600563872,-28.935951794462955,58617.21687062364,21.32519,i,0.95873
249.49460478226786,-28.936169451077504,58617.21687062364,21.144615,i,0.033424
249.49444048405468,-28.938947797699402,58617.21687062364,16.867233,i,0.985937
249.49499192003063,-28.943796399421082,58617.21687062364,22.6377,i,0.686169
249.49642449625958,-28.944385936210484,58617.21687062364,21.366877,i,0.961465
249.49436068744595,-28.942048920337314,58617.21687062364,22.310486,i,0.834266
249.49389354825098,-28.937862012024794,58617.21687062364,22.249449,i,0.803438
249.49384595008584,-28.940996046091843,58617.21687062364,22.931356,i,0.594512
249.49262818365094,-28.93936466567526,58617.21687062364,19.075998,i,0.982985
249.501983575613,-28.940190926760106,58617.21687062364,19.77155,i,0.982631
249.50196904853925,-28.935989956840913,58617.21687062364,19.66425,i,0.982601
249.5021146036296,-28.938902522343696,58617.21687062364,22.539154,i,0.708113
249.50420187920298,-28.93916787700706,58616.31006050669,20.959797,g,0.944083
249.5031268925576,-28.93784050255208,58616.31006050669,22.423988,g,0.728656
249.50199356037473,-28.94019407667992,58616.31006050669,20.927542,g,0.979
249.5019580098957,-28.93598513836953,58616.31006050669,20.76239,g,0.980696
249.5011782607958,-28.9393443727074,58616.31006050669,21.999882,g,0.680869
249.50030389035572,-28.93814699182375,58616.31006050669,17.501053,g,0.983769
249.49971700913952,-28.936890689859734,58616.31006050669,21.999187,g,0.471064
249.49981241075582,-28.93601378345445,58616.31006050669,20.3217,g,0.976369
249.498889806219,-28.935972192846123,58616.31006050669,23.21311,g,0.641055
249.49872993963996,-28.937966641412366,58616.31006050669,21.261663,g,0.311906
249.49818932232367,-28.936804404778975,58616.31006050669,17.420706,g,0.983159
249.50028197553732,-28.934909574856082,58616.31006050669,20.047453,g,0.982306
249.4990146776468,-28.94333899697148,58616.31006050669,18.674162,g,0.98319
249.4991742476268,-28.944518216340924,58616.31006050669,21.72602,g,0.943461
249.4985763435727,-28.940607997244285,58616.31006050669,17.69468,g,0.983462
249.4985803936241,-28.939236302116722,58616.31006050669,20.0132,g,0.981239
249.49883591145903,-28.9343740696622,58616.31006050669,22.125595,g,0.867977
249.49720958564504,-28.93433654569072,58616.31006050669,23.39909,g,0.495643
249.49683199402543,-28.941754277368446,58616.31006050669,22.473207,g,0.623475
249.49444128783134,-28.93895051124965,58616.31006050669,18.555096,g,0.984046
249.49263421558413,-28.939361225877256,58616.31006050669,20.711191,g,0.979423
249.50317085103458,-28.937839488558478,56417.261369201355,21.012234,r,0.971339
249.50326624264633,-28.941185122582652,56417.261369201355,22.37077,r,0.644305
249.5033220505204,-28.936198157774925,56417.261369201355,21.526627,r,0.026537
249.50262512253047,-28.94257496835798,56417.261369201355,22.17908,r,0.587432
249.4973732147838,-28.938524994238485,56417.261369201355,22.15566,r,0.721011
249.498871464697,-28.934354369450652,56417.261369201355,21.222412,r,0.977386
249.50028360786698,-28.934897417560972,56417.261369201355,19.364758,r,0.982533
