frame,band,bjd,airmass,exptime,dx,dy,n_comp,f_target,e_target,f_ens,rel,e_rel,bg,note
MTAA11895693,I,2456603.948009189,1.96718,60.0,0.024651257957202688,-0.05270013267779916,142,206.0,182.85289842566527,527165.0,0.00039076949342236304,0.0003468608470320778,1621.753,
MTAA11895700,G,2456603.9487671303,1.97929,60.0,0.021795064719867696,0.005316154494323655,143,436.0,214.43966503138668,171815.0,0.0025376131304018857,0.001248084655189516,1365.474,
MTAA11895702,R,2456603.94876813,1.97929,60.0,-0.02181139497389495,-0.0015838457126022831,142,632.0,158.4610240801609,548851.5,0.0011514954409343875,0.00028871383986408145,970.3032,
MTAA11895703,I,2456603.94876813,1.97929,60.0,-0.000620775326808598,-0.0509819514145704,142,87.0,171.90104075100885,485516.5,0.00017919061453112303,0.00035405808196221726,1669.023,
MTAA11895710,G,2456603.949526071,1.99199,60.0,-0.009138953930971638,-0.02407152843568383,143,140.0,224.40948695038122,173896.0,0.0008050788977319777,0.0012904810171043683,1358.525,
MTAA11895712,R,2456603.9495270713,1.99199,60.0,0.04817800112982695,-0.037998926043655956,142,474.0,158.03814718499663,503852.5,0.0009407515096183903,0.0003136595475560737,986.7448,
MTAA11895713,I,2456603.949528071,1.99199,60.0,0.023346309486100836,-0.026541150219372867,143,109.0,179.26193819295088,453923.5,0.00024012856791948424,0.00039491662844719623,1636.647,
MTAA11895720,G,2456603.9502880117,2.00546,60.0,-0.015666562412150142,-0.026753413655143277,143,104.0,214.96670235017018,164496.0,0.0006322342184612392,0.0013068202409187467,1363.209,
MTAA11895722,R,2456603.9502890115,2.00546,60.0,0.04431600034422445,-0.077766539879633,143,367.0,157.404116736719,539277.0,0.0006805407981426985,0.00029187989982276083,946.7644,
MTAA11895723,I,2456603.9502890115,2.00546,60.0,0.0068350762362570094,-0.056481592712714246,143,104.0,182.62032324652878,477787.5,0.0002176699892734741,0.00038222080579029127,1649.378,
