sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp
79125161,3678219101920411904,196.0378,-4.25651,17.33924,17.1985,17.38486,3.891536,DA,0.998,26037.61,7.471091,48.60421,-0.18636000000000053
58606397,1011191573864520704,138.0372,46.27848,17.01437,16.97289,17.13641,5.904761,DA,1.0,16199.12,7.846785,48.57826,-0.16352000000000189
60233603,1285340367160142464,216.4488,30.98036,17.2099,17.13932,17.38835,5.365056,DA,0.9902285,-9999.0,-9999.0,48.55589,-0.24902999999999764
62913193,1731395432637342336,314.6947,3.530698,16.10628,15.95989,16.38151,3.962864,DA,0.7813159,53538.2,7.8879,48.51477,-0.421619999999999
80055078,3853621198307165824,147.829,7.048168,17.6408,17.53258,17.84372,3.510709,DA,0.994,24795.04,7.862514,48.50393,-0.31114000000000175
57769612,898069106018965888,110.087,36.78503,17.09267,16.98942,17.30624,3.496284,DA,0.996,-9999.0,-9999.0,48.40112,-0.3168199999999999
61093063,1405357009135236224,248.3277,43.39777,18.6157,18.62079,18.75999,7.54203,DA,0.9323025,-9999.0,-9999.0,48.36155,-0.13919999999999888
116459883,274483289649153024,72.00082,55.76845,15.49805,15.4302,15.66024,11.29677,DA,1.0,18809.26,7.755065,48.36011,-0.2300400000000007
89728490,4506869128279648512,285.3868,14.96897,15.68013,15.52958,15.9483,24.15385,DC,0.04976097,-9999.0,-9999.0,48.29826,-0.4187200000000004
96230718,5301482200244955776,134.2836,-60.54488,15.52338,15.45967,15.67896,11.63623,DA,1.0,-9999.0,-9999.0,48.16872,-0.21929000000000087
111548320,6614977070156162944,332.6216,-30.09583,14.22956,14.07789,14.46607,13.31872,DA,0.998,28949.23,7.86543,48.15697,-0.3881800000000002
57816300,904622027817277952,124.7518,36.63478,17.55644,17.54067,17.66935,5.114001,DA,1.0,16270.32,7.930305,48.13778,-0.1286800000000028
79679151,3781482309128453760,159.6362,-2.811498,17.19243,17.17422,17.29778,6.612311,DA,1.0,14413.92,7.759196,48.06505,-0.12356000000000122
100578116,5673721037184764416,149.8362,-17.1023,16.54406,16.38128,16.76141,3.836075,DA,0.6870013,103918.5,7.069565,48.05388,-0.3801300000000012
70350919,2545105191913421312,4.231523,-0.9345771,17.79606,17.74812,17.91831,5.096305,DA,0.996,17439.38,8.051704,48.02771,-0.17019000000000162
67820312,2141555218744505856,291.1651,55.09833,16.41557,16.30995,16.62261,5.600335,DA,0.9600766,27167.12,7.721769,47.99889,-0.31266000000000105
