mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,distnr,magpsf_corr,band,yr
60499.35913190013,1,19.1246,0.134316,326.8283919,-13.4746768,1,4.0214844,,g,2024
60499.40127310017,2,18.8773,0.094717,326.8283493,-13.4746921,1,0.471693,18.817724,r,2024
60499.40174769983,2,18.663876,0.112991214,326.8283358,-13.4746855,1,0.40226617,18.605955,r,2024
60499.43984950008,1,19.119307,0.0827164,326.8283215,-13.4746659,1,12.055941,,g,2024
60501.41363430023,1,19.272383,0.14357215,326.8283282,-13.4746899,1,3.952767,,g,2024
60502.37642360013,2,18.622635,0.11141478,326.8283865,-13.4746783,1,0.55693316,18.566818,r,2024
60503.35615740018,1,19.2024,0.140682,326.828372,-13.4746634,1,3.94496,,g,2024
60503.40037039993,2,19.2134,0.128679,326.82829,-13.4746999,1,0.673491,19.132992,r,2024
60504.39787039999,2,19.659985,0.18126105,326.8283375,-13.4747017,1,0.3662941,19.520441,r,2024
60504.419097200036,1,19.108091,0.12643121,326.8283111,-13.474653,1,12.111504,,g,2024
60508.324548599776,2,19.243937,0.1863918,326.8284358,-13.4746609,1,0.15328759,19.16132,r,2024
60509.376875000075,1,19.310959,0.13491808,326.8282916,-13.4746943,1,12.018471,,g,2024
60510.35541669978,2,19.3524,0.190626,326.8283041,-13.4746665,1,0.599483,19.261457,r,2024
60511.336620400194,2,18.785183,0.13136905,326.8282933,-13.4746976,1,0.27554744,18.720615,r,2024
60511.39760420006,1,19.2221,0.251194,326.8283229,-13.4746415,1,12.1336,,g,2024
60516.389328700025,2,18.657993,0.15131515,326.8283259,-13.4746875,1,0.54206514,18.609072,r,2024
60516.38979170006,2,18.600815,0.13655822,326.8283065,-13.474661,1,0.41888967,18.546082,r,2024
60519.36895829998,2,19.032516,0.118001014,326.8283306,-13.4746687,1,0.5096408,18.964067,r,2024
60519.36895829998,2,19.0325,0.118001,326.8283306,-13.4746687,1,0.509641,18.96405,r,2024
60519.3694329001,2,18.977146,0.10594932,326.828293,-13.4746971,1,0.27663916,18.900522,r,2024
60519.45543979993,1,19.670923,0.17101021,326.8283348,-13.4746301,1,12.144238,,g,2024
60519.45638890006,1,19.581291,0.16070282,326.8283724,-13.4746555,1,3.9223385,,g,2024
60521.3993286998,2,18.923042,0.085965104,326.8283128,-13.4747051,1,0.6095261,18.860973,r,2024
60521.399803199805,2,18.94861,0.10342292,326.8283242,-13.4746922,1,0.3482127,18.873907,r,2024
60521.399803199805,2,18.9486,0.103423,326.8283242,-13.4746922,1,0.348213,18.873898,r,2024
