cls,source_id,sig,P_d,M2_msun,G,bp_rp,simbad_main,otype,sp_type,has_HD,has_HIP,has_GJ,has_TYC,named_ids
BD,2150829706698209536,19.89307403564453,555.3213414599492,0.0727,12.248884201049805,0.859893798828125,TYC 3908-327-1,*,"",false,false,false,true,""
BD,4668056781289612928,19.795913696289062,429.0166642511783,0.0772,10.133402824401855,0.7163181304931641,CD-69   203,SB*,"",false,false,false,true,""
BD,4854976609869179648,19.75231170654297,406.5013768822883,0.0487,10.013044357299805,0.882563591003418,CD-41  1115,SB*,G5,false,false,false,true,""
BD,428091214447959424,19.428876876831055,497.5238348527175,0.0704,8.357706069946289,0.7939801216125488,HD 236432,*,G5,true,false,false,true,BD+58    64|HD 236432
BD,3750881083756656128,19.345577239990234,500.4524718504409,0.0437,9.490763664245605,1.0012397766113281,HD  91669,PM*,K0/1III,true,true,false,true,HIP 51789|BD-13  3161|HD  91669
BD,5930600041950010496,19.31207847595215,487.8518709285399,0.0717,9.892663955688477,0.8257551193237305,TYC 8712-1406-1,*,"",false,false,false,true,""
BD,6319620720489927680,19.22118377685547,241.66511825471628,0.0348,12.63025951385498,2.389904022216797,,,,false,false,false,false,""
BD,5387119346996430592,19.206890106201172,458.5421739607383,0.0538,11.011990547180176,0.9592609405517578,TYC 7737-1654-1,PM*,"",false,false,false,true,""
BD,6527580258120086272,19.150938034057617,425.928661228684,0.0673,12.317109107971191,1.213973045349121,UCAC4 217-191793,SB*,"",false,false,false,false,""
BD,556434522393944960,18.858295440673828,342.2493594120119,0.0496,12.479327201843262,2.003103256225586,LP   15-110,PM*,"",false,false,false,false,""
BD,4503350935885071872,18.84381103515625,462.615607078987,0.0791,10.822091102600098,0.8238677978515625,TYC 1557-2079-1,*,"",false,false,false,true,""
BD,1693784331010944768,18.742408752441406,116.65498658844619,0.0503,11.799955368041992,1.967844009399414,2MASS J15000284+6816069,SB*,"",false,false,false,false,""
BD,5612227138561549696,18.412635803222656,311.66983944818537,0.0512,11.383374214172363,0.8784847259521484,TYC 6547-1020-1,*,"",false,false,false,true,""
BD,5244819001640485504,18.34767723083496,377.59001040472873,0.0613,12.551466941833496,1.1701345443725586,,,,false,false,false,false,""
BD,5249763131791463168,18.23702621459961,497.52550175635685,0.0799,11.771820068359375,0.9705476760864258,Gaia DR2 5249763131791463168,*,"",false,false,false,false,""
BD,4911361692148973952,18.20993423461914,309.53702311665285,0.07,12.336791038513184,1.1352672576904297,,,,false,false,false,false,""
BD,1442318432531688960,18.13169288635254,473.23681623069575,0.0664,11.810317039489746,0.9925451278686523,UCAC4 557-051559,SB*,"",false,false,false,false,""
BD,6354671987249126784,18.099491119384766,172.50505682306812,0.0165,9.486942291259766,1.7592840194702148,CD-81   812,SB*,K7,false,false,false,true,""
