ra,dec,id,otype,catalog,source_id,pulled_utc
16.928333,48.755278,J0107+4845,NL,ritter_kolb,,2026-06-01T01:35:02Z
30.9525,29.990556,AI_Tri,NL,ritter_kolb,,2026-06-01T01:35:02Z
267.474167,-33.536944,V825_Sco_1,N,ritter_kolb,,2026-06-01T01:35:02Z
80.965833,1.008333,BI_Ori_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
266.315,-37.774444,J1745-3746,NL,ritter_kolb,,2026-06-01T01:35:02Z
284.335,71.521944,V416_Dra,DN,ritter_kolb,,2026-06-01T01:35:02Z
286.886667,52.974722,CG_Dra_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
146.039167,-56.286389,V539_Vel,NL,ritter_kolb,,2026-06-01T01:35:02Z
267.840833,-37.415278,V697_Sco_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
144.654167,7.248611,HM_Leo,DN,ritter_kolb,,2026-06-01T01:35:02Z
311.836667,0.002222,J2047+0000,CV,ritter_kolb,,2026-06-01T01:35:02Z
151.743333,23.623333,J1006+2337,DN,ritter_kolb,,2026-06-01T01:35:02Z
139.21125,28.828611,HH_Cnc_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
146.64375,13.849444,HY_Leo,NL,ritter_kolb,,2026-06-01T01:35:02Z
270.915417,40.205833,V1323_Her,NL,ritter_kolb,,2026-06-01T01:35:02Z
102.461667,-7.628056,J0649-0737,NL,ritter_kolb,,2026-06-01T01:35:02Z
299.830833,56.4225,J1959+5625,DN,ritter_kolb,,2026-06-01T01:35:02Z
238.379583,55.270833,MQ_Dra,NL,ritter_kolb,,2026-06-01T01:35:02Z
272.694167,-30.875556,J1810-3052,DN,ritter_kolb,,2026-06-01T01:35:02Z
93.343333,47.740556,SS_Aur_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
176.337917,-4.435,TW_Vir_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
106.03625,26.419722,V418_Gem,NL,ritter_kolb,,2026-06-01T01:35:02Z
299.560417,32.545,V2306_Cyg_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
297.29375,58.533056,V542_Cyg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
293.642083,31.536667,V795_Cyg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
111.69625,-6.675,GI_Mon_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
280.799583,-57.512222,BD_Pav_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
334.13,29.005833,V513_Peg,DN,ritter_kolb,,2026-06-01T01:35:02Z
46.909583,47.127778,V400_Per_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
271.601667,-29.129167,J1806-2907,NL,ritter_kolb,,2026-06-01T01:35:02Z
159.368333,-62.824722,J1037-6249,DN,ritter_kolb,,2026-06-01T01:35:02Z
347.455,21.588333,V405_Peg,DN,ritter_kolb,,2026-06-01T01:35:02Z
118.772083,22.001667,U_Gem_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
231.3825,62.016667,ES_Dra,DN,ritter_kolb,,2026-06-01T01:35:02Z
99.227083,0.037778,CW_Mon_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
6.034583,-72.083333,NGC_104-W15,CV,ritter_kolb,,2026-06-01T01:35:02Z
268.635417,-31.964444,J1754-3157,NL,ritter_kolb,,2026-06-01T01:35:02Z
272.85375,-14.926111,UZ_Ser_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
2.853333,-11.478611,WW_Cet_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
213.204583,-40.360278,V504_Cen_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
137.460833,18.829722,GY_Cnc_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
116.24125,-52.953611,V436_Car_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
312.11625,0.835833,J2048+0050,NL,ritter_kolb,,2026-06-01T01:35:02Z
327.99125,14.115,LS_Peg_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
198.32125,-32.986667,V1043_Cen_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
289.205,-26.2425,V729_Sgr_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
273.530417,11.611944,V849_Oph_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
89.497083,53.895833,V405_Aur_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
8.89875,46.398056,J0035+4623,DN,ritter_kolb,,2026-06-01T01:35:02Z
9.3325,-72.237222,0035-7230,SS,ritter_kolb,,2026-06-01T01:35:02Z
62.145833,51.246667,FO_Per_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
334.209583,46.778056,J2216+4646,NL,ritter_kolb,,2026-06-01T01:35:02Z
311.790833,41.924167,V516_Cyg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
61.811667,-6.740278,LT_Eri,DN,ritter_kolb,,2026-06-01T01:35:02Z
287.712917,-59.986667,NGC_6752-CX1,DN,ritter_kolb,,2026-06-01T01:35:02Z
141.96625,-39.181111,J0927-3910,,ritter_kolb,,2026-06-01T01:35:02Z
179.0375,-65.5725,LZ_Mus_1,N,ritter_kolb,,2026-06-01T01:35:02Z
25.416667,6.243611,0139+0559,NL,ritter_kolb,,2026-06-01T01:35:02Z
314.437917,25.507222,VW_Vul_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
